gene	peak	max_abs_Z_RNA	max_abs_Z_ATAC	PPA_3	h2cis_RNA	h2cis_se_RNA	h2cis_p_RNA	h2cis_ATAC	h2cis_se_ATAC	h2cis_p_ATAC	oe_lof_upper	loeuf_quintile	peak_pos	gene_pos	peak_distance	peak_distance_quintile	start_atac	end_atac
GSAP	ATAC_chr7_77425583_77429064	7.36465	3.91583	0.999684	0.44449	0.05617	0	0.24144	0.09446	0.00527	1.001	4	77427323	77416348	10975	2	77425583	77429064
STEAP2	ATAC_chr7_90118004_90120459	11.2302	4.90099	0.984335	0.14847	0.03492	0	0.36012	0.08514	0	0.967	3	90119231	90167589	48358	3	90118004	90120459
STEAP2	ATAC_chr7_90149568_90150602	11.2302	4.72917	0.997047	0.14847	0.03492	0	0.22477	0.08306	0.00064	0.967	3	90150085	90167589	17504	2	90149568	90150602
STEAP2	ATAC_chr7_90210593_90212733	10.6436	5.34537	0.999003	0.14847	0.03492	0	0.20853	0.07163	0.00036	0.967	3	90211663	90167589	44074	3	90210593	90212733
CDK14	ATAC_chr7_90775886_90778406	4.08838	4.61875	0.99879	0.12499	0.04959	0.0009	0.2017	0.08343	0.00269	0.95	3	90777145	90466423	310722	5	90775886	90778406
GNG11	ATAC_chr7_94059343_94061258	4.83504	4.59148	0.999188	0.11072	0.03886	0.00114	0.23805	0.09617	0.01319	1.2	4	94060300	93921734	138566	5	94059343	94061258
GNG11	ATAC_chr7_94061432_94062795	4.83504	4.15299	0.999048	0.11072	0.03886	0.00114	0.10162	0.08555	0.1654	1.2	4	94062113	93921734	140379	5	94061432	94062795
GNG11	ATAC_chr7_94068401_94069845	4.83504	7.67533	0.999175	0.11072	0.03886	0.00114	0.60403	0.09328	1.00E-05	1.2	4	94069123	93921734	147389	5	94068401	94069845
COL1A2	ATAC_chr7_94352820_94353374	12.5769	5.87158	0.999993	0.27986	0.06081	0	0.36571	0.12963	0.01669	0.202	1	94353097	94394894	41797	3	94352820	94353374
COL1A2	ATAC_chr7_94391718_94392774	12.5769	12.6454	1	0.27986	0.06081	0	0.64601	0.0853	0	0.202	1	94392245	94394894	2649	1	94391718	94392774
COL1A2	ATAC_chr7_94393470_94394175	12.5769	6.72804	1	0.27986	0.06081	0	0.33087	0.13225	0.01969	0.202	1	94393822	94394894	1072	1	94393470	94394175
COL1A2	ATAC_chr7_94394445_94396428	12.5769	15.1231	1	0.27986	0.06081	0	0.65635	0.07951	0	0.202	1	94395436	94394894	542	1	94394445	94396428
TECPR1	ATAC_chr7_98168487_98168884	5.8415	9.69038	0.999998	0.11485	0.03535	0	0.614	0.09471	0	0.504	2	98168685	98252231	83546	4	98168487	98168884
SRPK2	ATAC_chr7_105587956_105588697	3.61633	3.59762	0.973352	0.06074	0.03082	0.00926	0.30229	0.13388	0.02511	0.269	1	105588326	105399307	189019	5	105587956	105588697
SRPK2	ATAC_chr7_105588962_105589939	3.61633	4.91245	0.994659	0.06074	0.03082	0.00926	0.30644	0.10522	0.00557	0.269	1	105589450	105399307	190143	5	105588962	105589939
SRPK2	ATAC_chr7_105593335_105594444	3.61633	6.37581	0.991739	0.06074	0.03082	0.00926	0.48766	0.09826	3.00E-05	0.269	1	105593889	105399307	194582	5	105593335	105594444
NRCAM	ATAC_chr7_108269978_108270977	3.73118	5.038	0.994709	0.13771	0.04235	0	0.4211	0.08652	1.00E-05	0.383	1	108270477	108456716	186239	5	108269978	108270977
NRCAM	ATAC_chr7_108310596_108312070	3.71463	4.71261	0.950724	0.13771	0.04235	0	0.32096	0.09943	0.00065	0.383	1	108311333	108456716	145383	5	108310596	108312070
NRCAM	ATAC_chr7_108323986_108324722	3.71463	5.11668	0.980923	0.13771	0.04235	0	0.68453	0.06677	0	0.383	1	108324353	108456716	132363	5	108323986	108324722
NRCAM	ATAC_chr7_108375551_108376604	6.53668	7.40466	0.999946	0.13771	0.04235	0	0.43232	0.09749	1.00E-05	0.383	1	108376077	108456716	80639	4	108375551	108376604
NRCAM	ATAC_chr7_108454342_108456670	6.53668	5.8225	0.997585	0.13771	0.04235	0	0.30757	0.08341	0.00022	0.383	1	108455505	108456716	1211	1	108454342	108456670
CAV2	ATAC_chr7_116498273_116498829	20.3473	7.11206	0.999763	0.5682	0.04743	0	0.4977	0.09707	6.00E-05	1.343	5	116498551	116287379	211172	5	116498273	116498829
CAV2	ATAC_chr7_116499050_116501021	20.3473	6.95859	0.999725	0.5682	0.04743	0	0.51956	0.08955	0	1.343	5	116500035	116287379	212656	5	116499050	116501021
KCND2	ATAC_chr7_120403988_120404873	6.29903	7.00923	0.999979	0.24059	0.06382	0	0.43401	0.09189	0	0.574	2	120404430	120273174	131256	5	120403988	120404873
AASS	ATAC_chr7_122143006_122145029	4.81887	4.36573	0.999652	0.01851	0.03787	0.3686	0.43501	0.12556	0.0055	0.809	3	122144017	122144307	290	1	122143006	122145029
HYAL4	ATAC_chr7_123791667_123793432	8.47668	6.62404	0.999805	0.1609	0.04791	0	0.3747	0.0816	0	1.692	5	123792549	123828982	36433	3	123791667	123793432
WASL	ATAC_chr7_123791667_123793432	3.75429	6.62404	0.999099	0.01374	0.01482	0.1918	0.3747	0.0816	0	0.375	1	123792549	123749002	43547	3	123791667	123793432
GRM8	ATAC_chr7_126656903_126659932	8.25285	9.81016	0.986221	0.13658	0.03692	0	0.41491	0.08845	0	0.638	2	126658417	127253092	594675	5	126656903	126659932
ATP6V1F	ATAC_chr7_128943398_128943528	3.76762	4.24742	0.986967	0.03899	0.02322	0.0373	0.15433	0.10329	0.1025	1.619	5	128943463	128862855	80608	4	128943398	128943528
ATP6V1F	ATAC_chr7_128954583_128955835	3.76762	7.34512	0.998257	0.03899	0.02322	0.0373	0.46392	0.09491	2.00E-05	1.619	5	128955209	128862855	92354	4	128954583	128955835
ATP6V1F	ATAC_chr7_128959280_128959678	3.76762	6.07204	0.997903	0.03899	0.02322	0.0373	0.44936	0.11517	0.00041	1.619	5	128959479	128862855	96624	4	128959280	128959678
MEST	ATAC_chr7_130492070_130492417	8.23835	3.07333	0.97299	0.36523	0.05312	0	0.16291	0.08713	0.03677	0.467	2	130492243	130486170	6073	2	130492070	130492417
MEST	ATAC_chr7_130561030_130561215	9.18875	4.96411	0.999903	0.36523	0.05312	0	0.2929	0.11366	0.01087	0.467	2	130561122	130486170	74952	4	130561030	130561215
COPG2	ATAC_chr7_130648606_130649705	17.0365	8.91802	0.999403	0.4258	0.0444	0	0.50653	0.08852	1.00E-05	0.815	3	130649155	130668747	19592	2	130648606	130649705
SLC35B4	ATAC_chr7_134292592_134293957	6.90701	6.15479	0.999104	0.08021	0.02451	0	0.28163	0.08529	0.00033	0.963	3	134293274	134316929	23655	2	134292592	134293957
AGBL3	ATAC_chr7_135102446_135102754	7.82064	6.05459	0.994959	0.14987	0.03657	0	0.30778	0.09263	0.00013	1.035	4	135102599	134986507	116092	5	135102446	135102754
AGBL3	ATAC_chr7_135150148_135153364	7.82064	10.6496	0.99535	0.14987	0.03657	0	0.54751	0.07734	0	1.035	4	135151755	134986507	165248	5	135150148	135153364
TMEM140	ATAC_chr7_135102446_135102754	7.43358	6.05459	0.993571	0.11146	0.03087	0	0.30778	0.09263	0.00013	1.632	5	135102599	135148071	45472	3	135102446	135102754
TMEM140	ATAC_chr7_135150148_135153364	7.43621	10.6496	0.995025	0.11146	0.03087	0	0.54751	0.07734	0	1.632	5	135151755	135148071	3684	1	135150148	135153364
WDR91	ATAC_chr7_135102446_135102754	12.4113	6.05459	0.995464	0.19055	0.03365	0	0.30778	0.09263	0.00013	0.621	2	135102599	135211554	108955	4	135102446	135102754
WDR91	ATAC_chr7_135150148_135153364	12.4113	10.6496	0.996016	0.19055	0.03365	0	0.54751	0.07734	0	0.621	2	135151755	135211554	59799	4	135150148	135153364
NUP205	ATAC_chr7_135552774_135554016	6.39108	5.02911	0.997821	0.12945	0.03925	1.00E-05	0.33797	0.09676	0.00054	0.232	1	135553395	135557916	4521	1	135552774	135554016
NUP205	ATAC_chr7_135555358_135555628	6.39108	5.70455	0.996625	0.12945	0.03925	1.00E-05	0.26058	0.08081	0.00049	0.232	1	135555493	135557916	2423	1	135555358	135555628
NUP205	ATAC_chr7_135555926_135556995	6.39108	7.30147	0.996504	0.12945	0.03925	1.00E-05	0.59521	0.08922	0	0.232	1	135556460	135557916	1456	1	135555926	135556995
DGKI	ATAC_chr7_137816851_137817151	10.1611	4.87514	0.999446	0.31897	0.05361	0	0.26442	0.10174	0.01036	0.314	1	137817001	137847091	30090	3	137816851	137817151
DGKI	ATAC_chr7_137819745_137821432	10.1611	4.62366	0.999686	0.31897	0.05361	0	0.2314	0.09507	0.01691	0.314	1	137820588	137847091	26503	3	137819745	137821432
DGKI	ATAC_chr7_137890333_137890996	10.1611	8.99764	0.999831	0.31897	0.05361	0	0.5005	0.09942	0.00012	0.314	1	137890664	137847091	43573	3	137890333	137890996
DGKI	ATAC_chr7_137893704_137896564	10.1611	5.2087	0.999749	0.31897	0.05361	0	0.41354	0.10167	0.00056	0.314	1	137895133	137847091	48042	3	137893704	137896564
ADCK2	ATAC_chr7_140656121_140657445	3.88201	7.62954	0.999586	0.12773	0.03853	2.00E-05	0.53402	0.08228	0	0.92	3	140656783	140672944	16161	2	140656121	140657445
ADCK2	ATAC_chr7_140672198_140677034	4.89163	6.29505	0.999911	0.12773	0.03853	2.00E-05	0.37752	0.10549	0.00048	0.92	3	140674615	140672944	1671	1	140672198	140677034
PRSS37	ATAC_chr7_141872947_141873184	4.48184	4.56033	0.988602	0.04392	0.01931	0.00145	0.22531	0.09748	0.00183	1.312	4	141873065	141841486	31579	3	141872947	141873184
ZNF786	ATAC_chr7_149092565_149093739	4.85797	3.36759	0.998177	0.09783	0.02954	0	0.16615	0.08853	0.02115	1.145	4	149093151	149090781	2370	1	149092565	149093739
ZNF786	ATAC_chr7_149182282_149182956	7.25825	7.40284	0.998364	0.09783	0.02954	0	0.3692	0.09203	0	1.145	4	149182619	149090781	91838	4	149182282	149182956
KRBA1	ATAC_chr7_149718799_149721444	5.92935	4.03483	0.999083	0.14635	0.03594	0	0.39356	0.10937	0.00019	1.113	4	149720121	149714780	5341	1	149718799	149721444
LRRC61	ATAC_chr7_150320684_150321511	15.1763	5.94819	0.999461	0.34177	0.04485	0	0.32062	0.10094	0.00089	1.382	5	150321097	150323262	2165	1	150320684	150321511
LRRC61	ATAC_chr7_150338876_150340702	15.1763	4.87079	0.997413	0.34177	0.04485	0	0.25247	0.10722	0.02118	1.382	5	150339789	150323262	16527	2	150338876	150340702
RARRES2	ATAC_chr7_150320684_150321511	8.89413	5.94819	0.999376	0.20496	0.0441	0	0.32062	0.10094	0.00089	1.716	5	150321097	150341661	20564	2	150320684	150321511
RARRES2	ATAC_chr7_150338876_150340702	9.22921	4.87079	0.997864	0.20496	0.0441	0	0.25247	0.10722	0.02118	1.716	5	150339789	150341661	1872	1	150338876	150340702
GIMAP2	ATAC_chr7_150663609_150665048	5.41548	4.18378	0.998649	0.04844	0.02798	0.04941	0.16615	0.09304	0.04887	1.691	5	150664328	150685696	21368	2	150663609	150665048
RBM33	ATAC_chr7_155751257_155754967	5.38352	7.92973	0.99971	0.12165	0.04011	0.00026	0.5295	0.10616	0	0.082	1	155753111	155644450	108661	4	155751257	155754967
RBM33	ATAC_chr7_155762072_155765224	5.68086	5.04962	0.999178	0.12165	0.04011	0.00026	0.30214	0.1126	0.00712	0.082	1	155763647	155644450	119197	5	155762072	155765224
MFHAS1	ATAC_chr8_8750618_8751421	6.76681	5.3267	0.999741	0.17592	0.04518	0	0.4427	0.12391	1.00E-05	0.824	3	8751019	8893629	142610	5	8750618	8751421
ERI1	ATAC_chr8_9025719_9026499	7.25086	4.58606	0.999886	0.17605	0.04367	0	0.28532	0.10295	0.00832	1.073	4	9026109	9002146	23963	2	9025719	9026499
PINX1	ATAC_chr8_10734203_10734670	4.74732	7.78398	0.993154	0.08706	0.03378	0.0021	0.43852	0.09383	1.00E-05	1.757	5	10734436	10839883	105447	4	10734203	10734670
BLK	ATAC_chr8_11416598_11420162	13.9067	5.75182	0.999889	0.42144	0.05908	0	0.23498	0.10151	0.00131	1.168	4	11418379	11486893	68514	4	11416598	11420162
BLK	ATAC_chr8_11439929_11441738	14.0347	4.68543	0.999159	0.42144	0.05908	0	0.34334	0.1253	0.0061	1.168	4	11440833	11486893	46060	3	11439929	11441738
BLK	ATAC_chr8_11457128_11459551	14.0347	6.48261	0.999345	0.42144	0.05908	0	0.60119	0.12433	0.00061	1.168	4	11458339	11486893	28554	3	11457128	11459551
BLK	ATAC_chr8_11464486_11468521	14.0347	10.0483	0.999897	0.42144	0.05908	0	0.61678	0.10273	0	1.168	4	11466503	11486893	20390	2	11464486	11468521
BLK	ATAC_chr8_11479546_11480899	14.0347	16.0724	0.999415	0.42144	0.05908	0	0.69638	0.07669	0	1.168	4	11480222	11486893	6671	2	11479546	11480899
BLK	ATAC_chr8_11481446_11484898	14.0347	9.91638	0.999994	0.42144	0.05908	0	0.61607	0.07921	0	1.168	4	11483171	11486893	3722	1	11481446	11484898
BLK	ATAC_chr8_11485121_11486501	14.0347	6.53825	0.999984	0.42144	0.05908	0	0.40114	0.12455	7.00E-05	1.168	4	11485811	11486893	1082	1	11485121	11486501
BLK	ATAC_chr8_11490359_11490671	14.0347	4.6771	0.999966	0.42144	0.05908	0	0.16094	0.10648	0.02132	1.168	4	11490515	11486893	3622	1	11490359	11490671
BLK	ATAC_chr8_11491343_11495915	13.7406	5.24539	0.999933	0.42144	0.05908	0	0.38206	0.16525	0.0047	1.168	4	11493629	11486893	6736	2	11491343	11495915
BLK	ATAC_chr8_11503065_11504187	8.95327	3.75593	0.982685	0.42144	0.05908	0	0.31372	0.13184	0.00763	1.168	4	11503625	11486893	16732	2	11503065	11504187
BLK	ATAC_chr8_11524509_11525190	8.95327	4.47738	0.989272	0.42144	0.05908	0	0.36465	0.12513	2.00E-05	1.168	4	11524849	11486893	37956	3	11524509	11525190
BLK	ATAC_chr8_11532687_11535132	8.95327	4.90763	0.987264	0.42144	0.05908	0	0.37698	0.11748	4.00E-05	1.168	4	11533909	11486893	47016	3	11532687	11535132
FAM167A	ATAC_chr8_11416598_11420162	20.163	5.75182	0.999889	0.57911	0.04836	0	0.23498	0.10151	0.00131	1.97	5	11418379	11475907	57528	4	11416598	11420162
FAM167A	ATAC_chr8_11439929_11441738	20.4365	4.68543	0.99908	0.57911	0.04836	0	0.34334	0.1253	0.0061	1.97	5	11440833	11475907	35074	3	11439929	11441738
FAM167A	ATAC_chr8_11457128_11459551	20.4365	6.48261	0.999157	0.57911	0.04836	0	0.60119	0.12433	0.00061	1.97	5	11458339	11475907	17568	2	11457128	11459551
FAM167A	ATAC_chr8_11464486_11468521	20.4365	10.0483	0.999949	0.57911	0.04836	0	0.61678	0.10273	0	1.97	5	11466503	11475907	9404	2	11464486	11468521
FAM167A	ATAC_chr8_11481446_11484898	20.4365	9.91638	1	0.57911	0.04836	0	0.61607	0.07921	0	1.97	5	11483171	11475907	7264	2	11481446	11484898
FAM167A	ATAC_chr8_11485121_11486501	20.4365	6.53825	0.999993	0.57911	0.04836	0	0.40114	0.12455	7.00E-05	1.97	5	11485811	11475907	9904	2	11485121	11486501
FAM167A	ATAC_chr8_11490359_11490671	20.4365	4.6771	0.999969	0.57911	0.04836	0	0.16094	0.10648	0.02132	1.97	5	11490515	11475907	14608	2	11490359	11490671
FAM167A	ATAC_chr8_11491343_11495915	18.6415	5.24539	0.999705	0.57911	0.04836	0	0.38206	0.16525	0.0047	1.97	5	11493629	11475907	17722	2	11491343	11495915
FAM167A	ATAC_chr8_11524509_11525190	11.8004	4.47738	0.999525	0.57911	0.04836	0	0.36465	0.12513	2.00E-05	1.97	5	11524849	11475907	48942	3	11524509	11525190
FAM167A	ATAC_chr8_11532687_11535132	11.8004	4.90763	0.998546	0.57911	0.04836	0	0.37698	0.11748	4.00E-05	1.97	5	11533909	11475907	58002	4	11532687	11535132
GATA4	ATAC_chr8_11416598_11420162	4.22458	5.75182	0.999689	0.11565	0.04129	0.00034	0.23498	0.10151	0.00131	0.527	2	11418379	11676958	258579	5	11416598	11420162
GATA4	ATAC_chr8_11439929_11441738	4.41422	4.68543	0.998689	0.11565	0.04129	0.00034	0.34334	0.1253	0.0061	0.527	2	11440833	11676958	236125	5	11439929	11441738
GATA4	ATAC_chr8_11457128_11459551	4.41422	6.48261	0.998978	0.11565	0.04129	0.00034	0.60119	0.12433	0.00061	0.527	2	11458339	11676958	218619	5	11457128	11459551
GATA4	ATAC_chr8_11464486_11468521	4.41422	10.0483	0.9969	0.11565	0.04129	0.00034	0.61678	0.10273	0	0.527	2	11466503	11676958	210455	5	11464486	11468521
GATA4	ATAC_chr8_11479546_11480899	4.41422	16.0724	0.999281	0.11565	0.04129	0.00034	0.69638	0.07669	0	0.527	2	11480222	11676958	196736	5	11479546	11480899
GATA4	ATAC_chr8_11481446_11484898	4.41422	9.91638	0.997977	0.11565	0.04129	0.00034	0.61607	0.07921	0	0.527	2	11483171	11676958	193787	5	11481446	11484898
GATA4	ATAC_chr8_11485121_11486501	4.41422	6.53825	0.99793	0.11565	0.04129	0.00034	0.40114	0.12455	7.00E-05	0.527	2	11485811	11676958	191147	5	11485121	11486501
GATA4	ATAC_chr8_11490359_11490671	4.41422	4.6771	0.999243	0.11565	0.04129	0.00034	0.16094	0.10648	0.02132	0.527	2	11490515	11676958	186443	5	11490359	11490671
GATA4	ATAC_chr8_11491343_11495915	4.41422	5.24539	0.999753	0.11565	0.04129	0.00034	0.38206	0.16525	0.0047	0.527	2	11493629	11676958	183329	5	11491343	11495915
GATA4	ATAC_chr8_11503065_11504187	3.87868	3.75593	0.961087	0.11565	0.04129	0.00034	0.31372	0.13184	0.00763	0.527	2	11503625	11676958	173333	5	11503065	11504187
GATA4	ATAC_chr8_11524509_11525190	3.87868	4.47738	0.986167	0.11565	0.04129	0.00034	0.36465	0.12513	2.00E-05	0.527	2	11524849	11676958	152109	5	11524509	11525190
CTSB	ATAC_chr8_11860041_11861779	12.6824	12.3607	1	0.31324	0.05674	0	0.63976	0.10785	0	1.331	4	11860909	11869532	8623	2	11860041	11861779
CTSB	ATAC_chr8_11877451_11879174	12.6824	4.54303	0.999974	0.31324	0.05674	0	0.11638	0.07426	0.03747	1.331	4	11878312	11869532	8780	2	11877451	11879174
ZDHHC2	ATAC_chr8_17155234_17157913	7.63593	5.88658	0.999885	0.12673	0.04142	0.00047	0.10716	0.11711	0.2232	0.69	3	17156573	17156481	92	1	17155234	17157913
SH2D4A	ATAC_chr8_19312118_19314062	7.07827	5.00072	0.999992	0.23213	0.04534	0	0.54263	0.13535	0.00232	1.416	5	19313089	19313692	603	1	19312118	19314062
SLC39A14	ATAC_chr8_22377545_22378574	9.66879	6.14973	0.999513	0.29203	0.05046	0	0.49019	0.10703	4.00E-05	0.554	2	22378059	22367277	10782	2	22377545	22378574
SLC25A37	ATAC_chr8_23524694_23526056	4.60221	7.36178	0.9999	0.03628	0.02378	0.08124	0.46836	0.1207	0.00038	0.633	2	23525375	23528955	3580	1	23524694	23526056
TRIM35	ATAC_chr8_27309885_27312559	3.63211	4.07562	0.994156	0.14437	0.03873	1.00E-05	0.4971	0.09169	0	0.7	3	27311221	27311271	50	1	27309885	27312559
TRIM35	ATAC_chr8_27372630_27373022	6.89067	3.86284	0.99968	0.14437	0.03873	1.00E-05	0.25065	0.12259	0.03596	0.7	3	27372825	27311271	61554	4	27372630	27373022
CCDC25	ATAC_chr8_27771648_27773479	11.4868	7.77855	0.999801	0.25372	0.04813	0	0.47558	0.1145	1.00E-05	0.764	3	27772563	27772652	89	1	27771648	27773479
ESCO2	ATAC_chr8_27828518_27829494	9.46594	4.61451	0.996654	0.17054	0.03524	0	0.27477	0.09855	0.00767	0.833	3	27829005	27771948	57057	4	27828518	27829494
SMIM18	ATAC_chr8_30631061_30631438	5.55252	6.20825	0.99999	0.12212	0.05093	0.00102	0.34707	0.09149	9.00E-05	1.662	5	30631249	30638579	7330	2	30631061	30631438
MAK16	ATAC_chr8_33471273_33473717	4.35514	3.32622	0.977934	0.04327	0.02038	0.00024	0.21854	0.09693	0.0028	0.328	1	33472495	33485181	12686	2	33471273	33473717
NKX6-3	ATAC_chr8_41577435_41579670	8.97218	5.02856	0.998901	0.21722	0.04801	0	0.33924	0.11154	0.0011	1.571	5	41578552	41650816	72264	4	41577435	41579670
NKX6-3	ATAC_chr8_41621394_41624370	8.85683	22.2726	0.99945	0.21722	0.04801	0	0.92342	0.0256	0	1.571	5	41622881	41650816	27935	3	41621394	41624370
NKX6-3	ATAC_chr8_41644781_41645236	7.84527	3.14048	0.997496	0.21722	0.04801	0	0.34662	0.09471	0.00027	1.571	5	41645008	41650816	5808	2	41644781	41645236
NKX6-3	ATAC_chr8_41646295_41646799	7.84527	4.34002	0.999591	0.21722	0.04801	0	0.28785	0.07868	0.00011	1.571	5	41646547	41650816	4269	1	41646295	41646799
NKX6-3	ATAC_chr8_41653412_41654782	6.30244	4.83486	0.999895	0.21722	0.04801	0	0.38789	0.11068	8.00E-05	1.571	5	41654097	41650816	3281	1	41653412	41654782
NKX6-3	ATAC_chr8_41662172_41663124	4.99066	6.42102	0.99823	0.21722	0.04801	0	0.54762	0.0915	0	1.571	5	41662647	41650816	11831	2	41662172	41663124
AP3M2	ATAC_chr8_42182082_42183766	12.7911	6.80704	0.998477	0.28993	0.04801	0	0.37263	0.09038	4.00E-05	1.112	4	42182923	42152945	29978	3	42182082	42183766
SMIM19	ATAC_chr8_42502437_42503432	17.6735	4.19825	0.998487	0.30172	0.04733	0	0.20415	0.08947	0.01352	1.058	4	42502934	42541154	38220	3	42502437	42503432
XKR4	ATAC_chr8_55101082_55103523	5.43194	2.87565	0.994919	0.0661	0.0404	0.03221	0.2362	0.09972	0.00821	0.192	1	55102302	55102027	275	1	55101082	55103523
RAB2A	ATAC_chr8_60558055_60559564	10.3155	15.6177	0.999884	0.19496	0.05019	0	0.68244	0.06223	0	0.22	1	60558809	60516935	41874	3	60558055	60559564
RAB2A	ATAC_chr8_60609824_60610695	10.414	11.2368	0.999669	0.19496	0.05019	0	0.57607	0.09167	0	0.22	1	60610259	60516935	93324	4	60609824	60610695
GGH	ATAC_chr8_63028389_63028968	5.92786	4.49826	0.998924	0.07017	0.0278	0.0006	0.17413	0.08057	0.00617	0.495	2	63028678	63039406	10728	2	63028389	63028968
PDE7A	ATAC_chr8_65998233_65998787	4.62721	7.40121	0.999554	0.10185	0.03625	0.00011	0.50586	0.08931	0	0.585	2	65998509	65842321	156188	5	65998233	65998787
PDE7A	ATAC_chr8_66008449_66011055	4.80242	3.13691	0.997868	0.10185	0.03625	0.00011	0.16175	0.09156	0.02361	0.585	2	66009751	65842321	167430	5	66008449	66011055
NCOA2	ATAC_chr8_70216475_70218164	4.5445	5.79825	0.998151	0.06056	0.02397	0.00039	0.37663	0.10305	1.00E-05	0.121	1	70217319	70403807	186488	5	70216475	70218164
XKR9	ATAC_chr8_70673928_70675153	16.6671	5.36969	0.99761	0.26659	0.05561	0	0.16156	0.06883	0.00082	1.559	5	70674540	70669338	5202	1	70673928	70675153
XKR9	ATAC_chr8_70678964_70679528	16.6671	6.27804	0.994392	0.26659	0.05561	0	0.23466	0.07005	0	1.559	5	70679245	70669338	9907	2	70678964	70679528
XKR9	ATAC_chr8_70682434_70683157	16.6671	18.0069	0.999573	0.26659	0.05561	0	0.58544	0.06813	0	1.559	5	70682795	70669338	13457	2	70682434	70683157
TMEM70	ATAC_chr8_73990911_73992945	6.69304	11.8703	0.999594	0.17065	0.04446	0	0.72343	0.06664	0	0.92	3	73991927	73972436	19491	2	73990911	73992945
HNF4G	ATAC_chr8_75402614_75405126	6.9934	3.64795	0.999166	0.26539	0.04772	0	0.33978	0.09666	0.00183	0.561	2	75403869	75407913	4044	1	75402614	75405126
HNF4G	ATAC_chr8_75405344_75409393	6.9934	3.73836	0.999574	0.26539	0.04772	0	0.19445	0.09562	0.03439	0.561	2	75407368	75407913	545	1	75405344	75409393
HNF4G	ATAC_chr8_75464784_75465179	11.7201	5.18715	0.99992	0.26539	0.04772	0	0.1896	0.08478	0.02038	0.561	2	75464981	75407913	57068	4	75464784	75465179
HNF4G	ATAC_chr8_75503435_75504206	11.8788	4.76695	0.999732	0.26539	0.04772	0	0.27651	0.10051	0.00395	0.561	2	75503820	75407913	95907	4	75503435	75504206
IL7	ATAC_chr8_78664698_78667310	8.14487	16.5716	0.999357	0.16981	0.04194	0	0.72513	0.05475	0	0.36	1	78666003	78805522	139519	5	78664698	78667310
IL7	ATAC_chr8_78671653_78672030	8.14487	6.20678	0.999736	0.16981	0.04194	0	0.40221	0.08921	1.00E-05	0.36	1	78671841	78805522	133681	5	78671653	78672030
IL7	ATAC_chr8_78694876_78695354	8.14527	4.20089	0.999767	0.16981	0.04194	0	0.15817	0.08301	0.03195	0.36	1	78695115	78805522	110407	4	78694876	78695354
IL7	ATAC_chr8_78723305_78724318	8.31185	22.7312	0.999853	0.16981	0.04194	0	0.79734	0.04091	0	0.36	1	78723811	78805522	81711	4	78723305	78724318
IL7	ATAC_chr8_78724716_78725634	8.31185	15.885	0.999846	0.16981	0.04194	0	0.79898	0.05474	0	0.36	1	78725175	78805522	80347	4	78724716	78725634
IL7	ATAC_chr8_78726080_78727613	8.31185	9.08012	0.999689	0.16981	0.04194	0	0.38192	0.07611	0	0.36	1	78726846	78805522	78676	4	78726080	78727613
IL7	ATAC_chr8_78731965_78732714	8.31185	8.25062	0.999777	0.16981	0.04194	0	0.39385	0.08864	0	0.36	1	78732339	78805522	73183	4	78731965	78732714
IL7	ATAC_chr8_78734288_78734606	8.14487	3.53601	0.998962	0.16981	0.04194	0	0.23797	0.10525	0.01249	0.36	1	78734447	78805522	71075	4	78734288	78734606
ZC2HC1A	ATAC_chr8_78664698_78667310	25.6852	16.5716	0.999755	0.52994	0.04868	0	0.72513	0.05475	0	0.537	2	78666003	78666049	46	1	78664698	78667310
ZC2HC1A	ATAC_chr8_78671653_78672030	25.6852	6.20678	0.999874	0.52994	0.04868	0	0.40221	0.08921	1.00E-05	0.537	2	78671841	78666049	5792	2	78671653	78672030
ZC2HC1A	ATAC_chr8_78694876_78695354	25.6852	4.20089	0.999658	0.52994	0.04868	0	0.15817	0.08301	0.03195	0.537	2	78695115	78666049	29066	3	78694876	78695354
ZC2HC1A	ATAC_chr8_78726080_78727613	25.2781	9.08012	0.999623	0.52994	0.04868	0	0.38192	0.07611	0	0.537	2	78726846	78666049	60797	4	78726080	78727613
ZC2HC1A	ATAC_chr8_78731965_78732714	25.2781	8.25062	0.999302	0.52994	0.04868	0	0.39385	0.08864	0	0.537	2	78732339	78666049	66290	4	78731965	78732714
ZC2HC1A	ATAC_chr8_78734288_78734606	25.2781	3.53601	0.999266	0.52994	0.04868	0	0.23797	0.10525	0.01249	0.537	2	78734447	78666049	68398	4	78734288	78734606
ZBTB10	ATAC_chr8_80510081_80511325	4.29999	4.54315	0.979783	0.26886	0.05351	0	0.41351	0.10698	0.00095	0.289	1	80510703	80485618	25085	3	80510081	80511325
CA13	ATAC_chr8_85243922_85246513	5.04979	7.73052	0.998827	0.05262	0.02482	2.00E-05	0.42625	0.09403	0	1.163	4	85245217	85220586	24631	3	85243922	85246513
RMDN1	ATAC_chr8_86338118_86338435	7.27592	6.43127	0.987779	0.16058	0.05037	0	0.30251	0.08921	7.00E-05	1.267	4	86338276	86514356	176080	5	86338118	86338435
MMP16	ATAC_chr8_88326269_88329103	6.41415	6.72969	0.998651	0.05905	0.02231	0	0.25472	0.07786	0	0.35	1	88327685	88328024	339	1	88326269	88329103
